amount,bill_usage,service,tran_date,account
31,500,WATER,31-07-15,3-1094N
31,500,WATER,31-08-15,3-1094N
27.74,400,WATER,30-09-15,3-1094N
31,500,WATER,31-10-15,3-1094N
24.48,300,WATER,30-11-15,3-1094N
27.74,400,WATER,31-12-15,3-1094N
31,500,WATER,31-01-16,3-1094N
24.48,300,WATER,29-02-16,3-1094N
24.48,300,WATER,31-03-16,3-1094N
27.74,400,WATER,30-04-16,3-1094N
31,500,WATER,31-05-16,3-1094N
27.74,400,WATER,30-06-16,3-1094N
0,0,PWS,31-07-15,3-1094N
0,0,PWS,31-08-15,3-1094N
1.52,400,PWS,30-09-15,3-1094N
1.95,500,PWS,31-10-15,3-1094N
0.93,300,PWS,30-11-15,3-1094N
1.6,400,PWS,31-12-15,3-1094N
1.55,500,PWS,31-01-16,3-1094N
0,0,PWS,29-02-16,3-1094N
0,0,PWS,31-03-16,3-1094N
0,0,PWS,30-04-16,3-1094N
1.9,500,PWS,31-05-16,3-1094N
2,400,PWS,30-06-16,3-1094N
17.96,100,WATER,31-07-15,4-9738L
14.7,0,WATER,31-08-15,4-9738L
14.7,0,WATER,30-09-15,4-9738L
14.7,0,WATER,31-10-15,4-9738L
14.7,0,WATER,30-11-15,4-9738L
14.7,0,WATER,31-12-15,4-9738L
14.7,0,WATER,31-01-16,4-9738L
14.7,0,WATER,29-02-16,4-9738L
14.7,0,WATER,31-03-16,4-9738L
14.7,0,WATER,30-04-16,4-9738L
14.7,0,WATER,31-05-16,4-9738L
14.7,0,WATER,30-06-16,4-9738L
2.81,0,DWELLING C,31-07-15,4-9738L
2.81,0,DWELLING C,31-08-15,4-9738L
5.62,0,DWELLING C,31-03-16,4-9738L
5.62,0,DWELLING C,30-04-16,4-9738L
5.62,0,DWELLING C,31-05-16,4-9738L
5.62,0,DWELLING C,30-06-16,4-9738L
0,0,PWS,31-07-15,4-9738L
0,0,PWS,31-08-15,4-9738L
0,0,PWS,30-09-15,4-9738L
0,0,PWS,31-10-15,4-9738L
0,0,PWS,30-11-15,4-9738L
0,0,PWS,31-12-15,4-9738L
0,0,PWS,31-01-16,4-9738L
0,0,PWS,29-02-16,4-9738L
0,0,PWS,31-03-16,4-9738L
0,0,PWS,30-04-16,4-9738L
0,0,PWS,31-05-16,4-9738L
0,0,PWS,30-06-16,4-9738L
263.75,5400,WATER,31-07-15,6-1854C
174.7,3700,WATER,31-08-15,6-1854C
204.52,4300,WATER,30-09-15,6-1854C
209.49,4400,WATER,31-10-15,6-1854C
139.91,3000,WATER,30-11-15,6-1854C
125,2700,WATER,31-12-15,6-1854C
90.21,2000,WATER,31-01-16,6-1854C
67.3,1500,WATER,29-02-16,6-1854C
80.27,1800,WATER,31-03-16,6-1854C
90.21,2000,WATER,30-04-16,6-1854C
115.06,2500,WATER,31-05-16,6-1854C
134.94,2900,WATER,30-06-16,6-1854C
2.81,0,DWELLING C,31-07-15,6-1854C
2.81,0,DWELLING C,31-08-15,6-1854C
5.62,0,DWELLING C,31-03-16,6-1854C
5.62,0,DWELLING C,30-04-16,6-1854C
5.62,0,DWELLING C,31-05-16,6-1854C
5.62,0,DWELLING C,30-06-16,6-1854C
0,0,PWS,31-07-15,6-1854C
0,0,PWS,31-08-15,6-1854C
16.34,4300,PWS,30-09-15,6-1854C
17.16,4400,PWS,31-10-15,6-1854C
9.3,3000,PWS,30-11-15,6-1854C
10.8,2700,PWS,31-12-15,6-1854C
6.2,2000,PWS,31-01-16,6-1854C
0,0,PWS,29-02-16,6-1854C
0,0,PWS,31-03-16,6-1854C
0,0,PWS,30-04-16,6-1854C
9.5,2500,PWS,31-05-16,6-1854C
14.5,2900,PWS,30-06-16,6-1854C
31,500,WATER,31-07-15,14-6711Y
31,500,WATER,31-08-15,14-6711Y
27.74,400,WATER,30-09-15,14-6711Y
27.74,400,WATER,31-10-15,14-6711Y
24.48,300,WATER,30-11-15,14-6711Y
27.74,400,WATER,31-12-15,14-6711Y
31,500,WATER,31-01-16,14-6711Y
31,500,WATER,29-02-16,14-6711Y
27.74,400,WATER,31-03-16,14-6711Y
27.74,400,WATER,30-04-16,14-6711Y
27.74,400,WATER,31-05-16,14-6711Y
31,500,WATER,30-06-16,14-6711Y
0,0,PWS,31-07-15,14-6711Y
0,0,PWS,31-08-15,14-6711Y
1.52,400,PWS,30-09-15,14-6711Y
1.56,400,PWS,31-10-15,14-6711Y
0.93,300,PWS,30-11-15,14-6711Y
1.6,400,PWS,31-12-15,14-6711Y
1.55,500,PWS,31-01-16,14-6711Y
0,0,PWS,29-02-16,14-6711Y
0,0,PWS,31-03-16,14-6711Y
0,0,PWS,30-04-16,14-6711Y
1.52,400,PWS,31-05-16,14-6711Y
2.5,500,PWS,30-06-16,14-6711Y
40.78,800,WATER,31-07-15,13-9642C
44.04,900,WATER,31-08-15,13-9642C
44.04,900,WATER,30-09-15,13-9642C
31,500,WATER,31-10-15,13-9642C
24.48,300,WATER,30-11-15,13-9642C
21.22,200,WATER,31-12-15,13-9642C
17.96,100,WATER,31-01-16,13-9642C
0,0,WATER,31-01-16,13-9642C
21.22,200,WATER,29-02-16,13-9642C
17.96,100,WATER,31-03-16,13-9642C
17.96,100,WATER,30-04-16,13-9642C
27.74,400,WATER,31-05-16,13-9642C
34.26,600,WATER,30-06-16,13-9642C
0,0,PWS,31-07-15,13-9642C
0,0,PWS,31-08-15,13-9642C
3.42,900,PWS,30-09-15,13-9642C
1.95,500,PWS,31-10-15,13-9642C
0.93,300,PWS,30-11-15,13-9642C
0.8,200,PWS,31-12-15,13-9642C
0.31,100,PWS,31-01-16,13-9642C
0,0,PWS,29-02-16,13-9642C
0,0,PWS,31-03-16,13-9642C
0,0,PWS,30-04-16,13-9642C
1.52,400,PWS,31-05-16,13-9642C
3,600,PWS,30-06-16,13-9642C
51.3,1100,WATER,31-07-15,11-8362J
63.3,1400,WATER,31-08-15,11-8362J
51.3,1100,WATER,30-09-15,11-8362J
47.3,1000,WATER,31-10-15,11-8362J
47.3,1000,WATER,30-11-15,11-8362J
44.04,900,WATER,31-12-15,11-8362J
27.74,300,WATER,31-01-16,11-8362J
0,100,WATER,31-01-16,11-8362J
27.74,400,WATER,29-02-16,11-8362J
31,500,WATER,31-03-16,11-8362J
31,500,WATER,30-04-16,11-8362J
40.78,800,WATER,31-05-16,11-8362J
40.78,800,WATER,30-06-16,11-8362J
0,0,PWS,31-07-15,11-8362J
0,0,PWS,31-08-15,11-8362J
4.18,1100,PWS,30-09-15,11-8362J
3.9,1000,PWS,31-10-15,11-8362J
3.1,1000,PWS,30-11-15,11-8362J
3.6,900,PWS,31-12-15,11-8362J
1.24,400,PWS,31-01-16,11-8362J
0,0,PWS,29-02-16,11-8362J
0,0,PWS,31-03-16,11-8362J
0,0,PWS,30-04-16,11-8362J
3.04,800,PWS,31-05-16,11-8362J
4,800,PWS,30-06-16,11-8362J
59.3,1300,WATER,31-07-15,7-7712Q
37.52,700,WATER,31-08-15,7-7712Q
44.04,900,WATER,30-09-15,7-7712Q
47.3,1000,WATER,31-10-15,7-7712Q
40.78,800,WATER,30-11-15,7-7712Q
34.26,600,WATER,31-12-15,7-7712Q
37.52,700,WATER,31-01-16,7-7712Q
37.52,700,WATER,29-02-16,7-7712Q
27.74,400,WATER,31-03-16,7-7712Q
40.78,800,WATER,30-04-16,7-7712Q
47.3,1000,WATER,31-05-16,7-7712Q
44.04,900,WATER,30-06-16,7-7712Q
0,0,PWS,31-07-15,7-7712Q
0,0,PWS,31-08-15,7-7712Q
3.42,900,PWS,30-09-15,7-7712Q
3.9,1000,PWS,31-10-15,7-7712Q
2.48,800,PWS,30-11-15,7-7712Q
2.4,600,PWS,31-12-15,7-7712Q
2.17,700,PWS,31-01-16,7-7712Q
0,0,PWS,29-02-16,7-7712Q
0,0,PWS,31-03-16,7-7712Q
0,0,PWS,30-04-16,7-7712Q
3.8,1000,PWS,31-05-16,7-7712Q
4.5,900,PWS,30-06-16,7-7712Q
34.26,600,WATER,31-07-15,15-6146W
44.04,900,WATER,31-08-15,15-6146W
44.04,900,WATER,30-09-15,15-6146W
34.26,600,WATER,31-10-15,15-6146W
55.3,1200,WATER,30-11-15,15-6146W
100.15,2200,WATER,31-12-15,15-6146W
55.3,1200,WATER,31-01-16,15-6146W
34.26,600,WATER,29-02-16,15-6146W
55.3,1200,WATER,31-03-16,15-6146W
51.3,1100,WATER,30-04-16,15-6146W
63.3,1400,WATER,31-05-16,15-6146W
144.88,3100,WATER,30-06-16,15-6146W
0,0,PWS,31-07-15,15-6146W
0,0,PWS,31-08-15,15-6146W
3.42,900,PWS,30-09-15,15-6146W
2.34,600,PWS,31-10-15,15-6146W
3.72,1200,PWS,30-11-15,15-6146W
8.8,2200,PWS,31-12-15,15-6146W
3.72,1200,PWS,31-01-16,15-6146W
0,0,PWS,29-02-16,15-6146W
0,0,PWS,31-03-16,15-6146W
0,0,PWS,30-04-16,15-6146W
5.32,1400,PWS,31-05-16,15-6146W
15.5,3100,PWS,30-06-16,15-6146W
47.3,1000,WATER,31-07-15,15-7782L
67.3,1500,WATER,31-08-15,15-7782L
59.3,1300,WATER,30-09-15,15-7782L
75.3,1700,WATER,31-10-15,15-7782L
63.3,1400,WATER,30-11-15,15-7782L
34.26,600,WATER,31-12-15,15-7782L
34.26,600,WATER,31-01-16,15-7782L
51.3,1100,WATER,29-02-16,15-7782L
40.78,800,WATER,31-03-16,15-7782L
55.3,1200,WATER,30-04-16,15-7782L
51.3,1100,WATER,31-05-16,15-7782L
59.3,1300,WATER,30-06-16,15-7782L
0,0,PWS,31-07-15,15-7782L
0,0,PWS,31-08-15,15-7782L
4.94,1300,PWS,30-09-15,15-7782L
6.63,1700,PWS,31-10-15,15-7782L
4.34,1400,PWS,30-11-15,15-7782L
2.4,600,PWS,31-12-15,15-7782L
1.86,600,PWS,31-01-16,15-7782L
0,0,PWS,29-02-16,15-7782L
0,0,PWS,31-03-16,15-7782L
0,0,PWS,30-04-16,15-7782L
4.18,1100,PWS,31-05-16,15-7782L
6.5,1300,PWS,30-06-16,15-7782L
55.3,1200,WATER,31-07-15,8-9707E
51.3,1100,WATER,31-08-15,8-9707E
59.3,1300,WATER,30-09-15,8-9707E
51.3,1100,WATER,31-10-15,8-9707E
37.52,700,WATER,30-11-15,8-9707E
40.78,800,WATER,31-12-15,8-9707E
40.78,800,WATER,31-01-16,8-9707E
44.04,900,WATER,29-02-16,8-9707E
40.78,800,WATER,31-03-16,8-9707E
164.76,3500,WATER,30-04-16,8-9707E
95.18,2100,WATER,31-05-16,8-9707E
55.3,1200,WATER,30-06-16,8-9707E
0,0,PWS,31-07-15,8-9707E
0,0,PWS,31-08-15,8-9707E
4.94,1300,PWS,30-09-15,8-9707E
4.29,1100,PWS,31-10-15,8-9707E
2.17,700,PWS,30-11-15,8-9707E
3.2,800,PWS,31-12-15,8-9707E
2.48,800,PWS,31-01-16,8-9707E
0,0,PWS,29-02-16,8-9707E
0,0,PWS,31-03-16,8-9707E
0,0,PWS,30-04-16,8-9707E
7.98,2100,PWS,31-05-16,8-9707E
6,1200,PWS,30-06-16,8-9707E
59.3,1300,WATER,31-07-15,10-2254L
90.21,2000,WATER,31-08-15,10-2254L
59.3,1300,WATER,30-09-15,10-2254L
63.3,1400,WATER,31-10-15,10-2254L
63.3,1400,WATER,30-11-15,10-2254L
55.3,1200,WATER,31-12-15,10-2254L
59.3,1300,WATER,31-01-16,10-2254L
63.3,1400,WATER,29-02-16,10-2254L
51.3,1100,WATER,31-03-16,10-2254L
55.3,1200,WATER,30-04-16,10-2254L
59.3,1300,WATER,31-05-16,10-2254L
67.3,1500,WATER,30-06-16,10-2254L
0,0,PWS,31-07-15,10-2254L
0,0,PWS,31-08-15,10-2254L
4.94,1300,PWS,30-09-15,10-2254L
5.46,1400,PWS,31-10-15,10-2254L
4.34,1400,PWS,30-11-15,10-2254L
4.8,1200,PWS,31-12-15,10-2254L
4.03,1300,PWS,31-01-16,10-2254L
0,0,PWS,29-02-16,10-2254L
0,0,PWS,31-03-16,10-2254L
0,0,PWS,30-04-16,10-2254L
4.94,1300,PWS,31-05-16,10-2254L
7.5,1500,PWS,30-06-16,10-2254L
85.24,1900,WATER,31-07-15,5-4306J
90.21,2000,WATER,31-08-15,5-4306J
95.18,2100,WATER,30-09-15,5-4306J
95.18,2100,WATER,31-10-15,5-4306J
75.3,1700,WATER,30-11-15,5-4306J
67.3,1500,WATER,31-12-15,5-4306J
51.3,1100,WATER,31-01-16,5-4306J
17.96,100,WATER,29-02-16,5-4306J
44.04,900,WATER,31-03-16,5-4306J
37.52,700,WATER,30-04-16,5-4306J
44.04,900,WATER,31-05-16,5-4306J
63.3,1400,WATER,30-06-16,5-4306J
0,0,PWS,31-07-15,5-4306J
0,0,PWS,31-08-15,5-4306J
7.98,2100,PWS,30-09-15,5-4306J
8.19,2100,PWS,31-10-15,5-4306J
5.27,1700,PWS,30-11-15,5-4306J
6,1500,PWS,31-12-15,5-4306J
3.41,1100,PWS,31-01-16,5-4306J
0,0,PWS,29-02-16,5-4306J
0,0,PWS,31-03-16,5-4306J
0,0,PWS,30-04-16,5-4306J
3.42,900,PWS,31-05-16,5-4306J
7,1400,PWS,30-06-16,5-4306J
34.26,600,WATER,31-07-15,11-6729J
34.26,600,WATER,31-08-15,11-6729J
31,500,WATER,30-09-15,11-6729J
27.74,400,WATER,31-10-15,11-6729J
27.74,400,WATER,30-11-15,11-6729J
24.48,300,WATER,31-12-15,11-6729J
24.48,300,WATER,31-01-16,11-6729J
24.48,300,WATER,29-02-16,11-6729J
27.74,400,WATER,31-03-16,11-6729J
31,500,WATER,30-04-16,11-6729J
27.74,400,WATER,31-05-16,11-6729J
27.74,400,WATER,30-06-16,11-6729J
0,0,PWS,31-07-15,11-6729J
0,0,PWS,31-08-15,11-6729J
1.9,500,PWS,30-09-15,11-6729J
1.56,400,PWS,31-10-15,11-6729J
1.24,400,PWS,30-11-15,11-6729J
1.2,300,PWS,31-12-15,11-6729J
0.93,300,PWS,31-01-16,11-6729J
0,0,PWS,29-02-16,11-6729J
0,0,PWS,31-03-16,11-6729J
0,0,PWS,30-04-16,11-6729J
1.52,400,PWS,31-05-16,11-6729J
2,400,PWS,30-06-16,11-6729J
71.3,1600,WATER,31-07-15,8-1075N
51.3,1100,WATER,31-08-15,8-1075N
51.3,1100,WATER,30-09-15,8-1075N
67.3,1500,WATER,31-10-15,8-1075N
47.3,1000,WATER,30-11-15,8-1075N
31,500,WATER,31-12-15,8-1075N
31,500,WATER,31-01-16,8-1075N
24.48,300,WATER,29-02-16,8-1075N
31,500,WATER,31-03-16,8-1075N
27.74,400,WATER,30-04-16,8-1075N
34.26,600,WATER,31-05-16,8-1075N
44.04,900,WATER,30-06-16,8-1075N
0,0,PWS,31-07-15,8-1075N
0,0,PWS,31-08-15,8-1075N
4.18,1100,PWS,30-09-15,8-1075N
5.85,1500,PWS,31-10-15,8-1075N
3.1,1000,PWS,30-11-15,8-1075N
2,500,PWS,31-12-15,8-1075N
1.55,500,PWS,31-01-16,8-1075N
0,0,PWS,29-02-16,8-1075N
0,0,PWS,31-03-16,8-1075N
0,0,PWS,30-04-16,8-1075N
2.28,600,PWS,31-05-16,8-1075N
4.5,900,PWS,30-06-16,8-1075N
55.3,1200,WATER,31-07-15,15-3063R
51.3,1100,WATER,31-08-15,15-3063R
59.3,1300,WATER,30-09-15,15-3063R
63.3,1400,WATER,31-10-15,15-3063R
71.3,1600,WATER,30-11-15,15-3063R
47.3,1000,WATER,31-12-15,15-3063R
55.3,1200,WATER,31-01-16,15-3063R
27.74,400,WATER,29-02-16,15-3063R
21.22,200,WATER,31-03-16,15-3063R
44.04,900,WATER,30-04-16,15-3063R
47.3,1000,WATER,31-05-16,15-3063R
44.04,900,WATER,30-06-16,15-3063R
0,0,PWS,31-07-15,15-3063R
0,0,PWS,31-08-15,15-3063R
4.94,1300,PWS,30-09-15,15-3063R
5.46,1400,PWS,31-10-15,15-3063R
4.96,1600,PWS,30-11-15,15-3063R
4,1000,PWS,31-12-15,15-3063R
3.72,1200,PWS,31-01-16,15-3063R
0,0,PWS,29-02-16,15-3063R
0,0,PWS,31-03-16,15-3063R
0,0,PWS,30-04-16,15-3063R
3.8,1000,PWS,31-05-16,15-3063R
4.5,900,PWS,30-06-16,15-3063R
21.22,200,WATER,30-09-15,12-5166N
75.3,1700,WATER,31-10-15,12-5166N
63.3,1400,WATER,30-11-15,12-5166N
59.3,1300,WATER,31-12-15,12-5166N
40.78,800,WATER,31-01-16,12-5166N
44.04,900,WATER,29-02-16,12-5166N
34.26,600,WATER,31-03-16,12-5166N
40.78,800,WATER,30-04-16,12-5166N
44.04,900,WATER,31-05-16,12-5166N
55.3,1200,WATER,30-06-16,12-5166N
0.76,200,PWS,30-09-15,12-5166N
6.63,1700,PWS,31-10-15,12-5166N
4.34,1400,PWS,30-11-15,12-5166N
5.2,1300,PWS,31-12-15,12-5166N
2.48,800,PWS,31-01-16,12-5166N
0,0,PWS,29-02-16,12-5166N
0,0,PWS,31-03-16,12-5166N
0,0,PWS,30-04-16,12-5166N
3.42,900,PWS,31-05-16,12-5166N
6,1200,PWS,30-06-16,12-5166N
51.3,1100,WATER,31-07-15,11-8711W
40.78,800,WATER,31-08-15,11-8711W
47.3,1000,WATER,30-09-15,11-8711W
0,0,PWS,31-07-15,11-8711W
0,0,PWS,31-08-15,11-8711W
0,0,PWS,30-09-15,11-8711W
21.22,200,WATER,31-07-15,9-8226O
14.7,0,WATER,31-08-15,9-8226O
27.74,400,WATER,30-09-15,9-8226O
63.3,1400,WATER,31-10-15,9-8226O
14.7,0,WATER,30-11-15,9-8226O
14.7,0,WATER,31-12-15,9-8226O
14.7,0,WATER,31-01-16,9-8226O
14.7,0,WATER,29-02-16,9-8226O
14.7,0,WATER,31-03-16,9-8226O
14.7,0,WATER,30-04-16,9-8226O
14.7,0,WATER,31-05-16,9-8226O
14.7,0,WATER,30-06-16,9-8226O
0,0,PWS,31-07-15,9-8226O
0,0,PWS,31-08-15,9-8226O
1.52,400,PWS,30-09-15,9-8226O
5.46,1400,PWS,31-10-15,9-8226O
0,0,PWS,30-11-15,9-8226O
0,0,PWS,31-12-15,9-8226O
0,0,PWS,31-01-16,9-8226O
0,0,PWS,29-02-16,9-8226O
0,0,PWS,31-03-16,9-8226O
0,0,PWS,30-04-16,9-8226O
0,0,PWS,31-05-16,9-8226O
0,0,PWS,30-06-16,9-8226O
44.04,900,WATER,31-07-15,13-2038J
55.3,1200,WATER,31-08-15,13-2038J
55.3,1200,WATER,30-09-15,13-2038J
51.3,1100,WATER,31-10-15,13-2038J
40.78,800,WATER,30-11-15,13-2038J
37.52,700,WATER,31-12-15,13-2038J
37.52,700,WATER,31-01-16,13-2038J
37.52,700,WATER,29-02-16,13-2038J
37.52,700,WATER,31-03-16,13-2038J
37.52,700,WATER,30-04-16,13-2038J
47.3,1000,WATER,31-05-16,13-2038J
37.52,700,WATER,30-06-16,13-2038J
0,0,PWS,31-07-15,13-2038J
0,0,PWS,31-08-15,13-2038J
4.56,1200,PWS,30-09-15,13-2038J
4.29,1100,PWS,31-10-15,13-2038J
2.48,800,PWS,30-11-15,13-2038J
2.8,700,PWS,31-12-15,13-2038J
2.17,700,PWS,31-01-16,13-2038J
0,0,PWS,29-02-16,13-2038J
0,0,PWS,31-03-16,13-2038J
0,0,PWS,30-04-16,13-2038J
3.8,1000,PWS,31-05-16,13-2038J
3.5,700,PWS,30-06-16,13-2038J
100.15,2200,WATER,31-07-15,4-6530I
40.78,800,WATER,31-08-15,4-6530I
63.3,1400,WATER,30-09-15,4-6530I
55.3,1200,WATER,31-10-15,4-6530I
37.52,700,WATER,30-11-15,4-6530I
34.26,600,WATER,31-12-15,4-6530I
47.3,1000,WATER,31-01-16,4-6530I
37.52,700,WATER,29-02-16,4-6530I
34.26,600,WATER,31-03-16,4-6530I
44.04,900,WATER,30-04-16,4-6530I
40.78,800,WATER,31-05-16,4-6530I
37.52,700,WATER,30-06-16,4-6530I
2.81,0,DWELLING C,31-07-15,4-6530I
2.81,0,DWELLING C,31-08-15,4-6530I
5.62,0,DWELLING C,31-03-16,4-6530I
5.62,0,DWELLING C,30-04-16,4-6530I
5.62,0,DWELLING C,31-05-16,4-6530I
5.62,0,DWELLING C,30-06-16,4-6530I
0,0,PWS,31-07-15,4-6530I
0,0,PWS,31-08-15,4-6530I
5.32,1400,PWS,30-09-15,4-6530I
4.68,1200,PWS,31-10-15,4-6530I
2.17,700,PWS,30-11-15,4-6530I
2.4,600,PWS,31-12-15,4-6530I
3.1,1000,PWS,31-01-16,4-6530I
0,0,PWS,29-02-16,4-6530I
0,0,PWS,31-03-16,4-6530I
0,0,PWS,30-04-16,4-6530I
3.04,800,PWS,31-05-16,4-6530I
3.5,700,PWS,30-06-16,4-6530I
37.52,700,WATER,31-07-15,4-3281X
37.52,700,WATER,31-08-15,4-3281X
34.26,600,WATER,30-09-15,4-3281X
31,500,WATER,31-10-15,4-3281X
34.26,600,WATER,30-11-15,4-3281X
27.74,400,WATER,31-12-15,4-3281X
37.52,700,WATER,31-01-16,4-3281X
24.48,300,WATER,29-02-16,4-3281X
24.48,300,WATER,31-03-16,4-3281X
27.74,400,WATER,30-04-16,4-3281X
24.48,300,WATER,31-05-16,4-3281X
34.26,600,WATER,30-06-16,4-3281X
0,0,PWS,31-07-15,4-3281X
0,0,PWS,31-08-15,4-3281X
2.28,600,PWS,30-09-15,4-3281X
1.95,500,PWS,31-10-15,4-3281X
1.86,600,PWS,30-11-15,4-3281X
1.6,400,PWS,31-12-15,4-3281X
2.17,700,PWS,31-01-16,4-3281X
0,0,PWS,29-02-16,4-3281X
0,0,PWS,31-03-16,4-3281X
0,0,PWS,30-04-16,4-3281X
1.14,300,PWS,31-05-16,4-3281X
3,600,PWS,30-06-16,4-3281X
51.3,1100,WATER,31-12-15,11-4649C
37.52,700,WATER,31-01-16,11-4649C
31,500,WATER,29-02-16,11-4649C
27.74,400,WATER,31-03-16,11-4649C
34.26,600,WATER,30-04-16,11-4649C
67.3,1500,WATER,31-05-16,11-4649C
51.3,1100,WATER,30-06-16,11-4649C
4.4,1100,PWS,31-12-15,11-4649C
2.17,700,PWS,31-01-16,11-4649C
0,0,PWS,29-02-16,11-4649C
0,0,PWS,31-03-16,11-4649C
0,0,PWS,30-04-16,11-4649C
5.7,1500,PWS,31-05-16,11-4649C
5.5,1100,PWS,30-06-16,11-4649C
34.26,600,WATER,31-07-15,7-1567W
31,500,WATER,31-08-15,7-1567W
24.48,300,WATER,30-09-15,7-1567W
24.48,300,WATER,31-10-15,7-1567W
21.22,200,WATER,30-11-15,7-1567W
0,0,PWS,31-07-15,7-1567W
0,0,PWS,31-08-15,7-1567W
1.14,300,PWS,30-09-15,7-1567W
1.17,300,PWS,31-10-15,7-1567W
0.62,200,PWS,30-11-15,7-1567W
2.79,900,PWS,31-01-16,7-1567W
34.26,600,WATER,31-07-15,14-7229K
40.78,800,WATER,31-08-15,14-7229K
34.26,600,WATER,30-09-15,14-7229K
37.52,700,WATER,31-10-15,14-7229K
31,500,WATER,30-11-15,14-7229K
27.74,400,WATER,31-12-15,14-7229K
31,500,WATER,31-01-16,14-7229K
27.74,400,WATER,29-02-16,14-7229K
27.74,400,WATER,31-03-16,14-7229K
31,500,WATER,30-04-16,14-7229K
37.52,700,WATER,31-05-16,14-7229K
37.52,700,WATER,30-06-16,14-7229K
2.81,0,DWELLING C,31-07-15,14-7229K
2.81,0,DWELLING C,31-08-15,14-7229K
5.62,0,DWELLING C,31-03-16,14-7229K
5.62,0,DWELLING C,30-04-16,14-7229K
5.62,0,DWELLING C,31-05-16,14-7229K
5.62,0,DWELLING C,30-06-16,14-7229K
0,0,PWS,31-07-15,14-7229K
0,0,PWS,31-08-15,14-7229K
2.28,600,PWS,30-09-15,14-7229K
2.73,700,PWS,31-10-15,14-7229K
1.55,500,PWS,30-11-15,14-7229K
1.6,400,PWS,31-12-15,14-7229K
1.55,500,PWS,31-01-16,14-7229K
0,0,PWS,29-02-16,14-7229K
0,0,PWS,31-03-16,14-7229K
0,0,PWS,30-04-16,14-7229K
2.66,700,PWS,31-05-16,14-7229K
3.5,700,PWS,30-06-16,14-7229K
40.78,800,WATER,31-07-15,10-3972Q
55.3,1200,WATER,31-08-15,10-3972Q
51.3,1100,WATER,30-09-15,10-3972Q
44.04,900,WATER,31-10-15,10-3972Q
47.3,1000,WATER,30-11-15,10-3972Q
34.26,600,WATER,31-12-15,10-3972Q
31,500,WATER,31-01-16,10-3972Q
27.74,400,WATER,29-02-16,10-3972Q
27.74,400,WATER,31-03-16,10-3972Q
34.26,600,WATER,30-04-16,10-3972Q
47.3,1000,WATER,31-05-16,10-3972Q
47.3,1000,WATER,30-06-16,10-3972Q
0,0,PWS,31-07-15,10-3972Q
0,0,PWS,31-08-15,10-3972Q
4.18,1100,PWS,30-09-15,10-3972Q
3.51,900,PWS,31-10-15,10-3972Q
3.1,1000,PWS,30-11-15,10-3972Q
2.4,600,PWS,31-12-15,10-3972Q
1.55,500,PWS,31-01-16,10-3972Q
0,0,PWS,29-02-16,10-3972Q
0,0,PWS,31-03-16,10-3972Q
0,0,PWS,30-04-16,10-3972Q
3.8,1000,PWS,31-05-16,10-3972Q
5,1000,PWS,30-06-16,10-3972Q
34.26,600,WATER,31-07-15,7-6316L
34.26,600,WATER,31-08-15,7-6316L
40.78,800,WATER,30-09-15,7-6316L
37.52,700,WATER,31-10-15,7-6316L
44.04,900,WATER,30-11-15,7-6316L
47.3,1000,WATER,31-12-15,7-6316L
34.26,600,WATER,31-01-16,7-6316L
24.48,300,WATER,29-02-16,7-6316L
31,500,WATER,31-03-16,7-6316L
24.48,300,WATER,30-04-16,7-6316L
21.22,200,WATER,31-05-16,7-6316L
21.22,200,WATER,30-06-16,7-6316L
0,0,PWS,31-07-15,7-6316L
0,0,PWS,31-08-15,7-6316L
3.04,800,PWS,30-09-15,7-6316L
2.73,700,PWS,31-10-15,7-6316L
2.79,900,PWS,30-11-15,7-6316L
4,1000,PWS,31-12-15,7-6316L
1.86,600,PWS,31-01-16,7-6316L
0,0,PWS,29-02-16,7-6316L
0,0,PWS,31-03-16,7-6316L
0,0,PWS,30-04-16,7-6316L
0.76,200,PWS,31-05-16,7-6316L
1,200,PWS,30-06-16,7-6316L
55.3,1200,WATER,31-07-15,8-7487J
27.74,400,WATER,31-08-15,8-7487J
34.26,600,WATER,30-09-15,8-7487J
34.26,600,WATER,31-10-15,8-7487J
24.48,300,WATER,30-11-15,8-7487J
24.48,300,WATER,31-12-15,8-7487J
34.26,600,WATER,31-01-16,8-7487J
37.52,700,WATER,29-02-16,8-7487J
37.52,700,WATER,31-03-16,8-7487J
34.26,600,WATER,30-04-16,8-7487J
37.52,700,WATER,31-05-16,8-7487J
44.04,900,WATER,30-06-16,8-7487J
0,0,PWS,31-07-15,8-7487J
0,0,PWS,31-08-15,8-7487J
2.28,600,PWS,30-09-15,8-7487J
2.34,600,PWS,31-10-15,8-7487J
0.93,300,PWS,30-11-15,8-7487J
1.2,300,PWS,31-12-15,8-7487J
1.86,600,PWS,31-01-16,8-7487J
0,0,PWS,29-02-16,8-7487J
0,0,PWS,31-03-16,8-7487J
0,0,PWS,30-04-16,8-7487J
2.66,700,PWS,31-05-16,8-7487J
4.5,900,PWS,30-06-16,8-7487J
44.04,900,WATER,31-07-15,13-4345X
44.04,900,WATER,31-08-15,13-4345X
85.24,1900,WATER,30-09-15,13-4345X
44.04,900,WATER,31-10-15,13-4345X
37.52,700,WATER,30-11-15,13-4345X
37.52,700,WATER,31-12-15,13-4345X
37.52,700,WATER,31-01-16,13-4345X
44.04,900,WATER,29-02-16,13-4345X
